tSNE1,tSNE2,Yield_Strength,Temperature
33.792953,-1.6493707,1250.0,25.0
37.726833,-0.41064528,1330.0,25.0
-10.184089,9.791091,1745.0,25.0
-4.28999,-9.346088,366.0,1000.0
32.32883,-1.5726519,1021.0,25.0
40.40641,-0.22545044,1188.0,25.0
39.99152,1.3014779,1965.0,25.0
-4.5438085,-8.684089,678.0,800.0
-5.309579,-9.553494,166.0,1000.0
-10.425173,9.73291,1965.0,25.0
-3.150456,-8.619645,362.0,800.0
-4.1033854,-9.551209,236.0,1000.0
40.028404,0.76948637,1841.0,25.0
-9.666128,-3.111136,796.0,800.0
-9.744931,-4.5636287,298.0,1000.0
-11.589861,-7.557166,89.0,1200.0
-12.377188,12.817748,1340.0,25.0
0.5822574,-4.4568396,930.0,600.0
-1.173543,-4.4299965,445.0,800.0
-2.484184,-4.695369,90.0,1000.0
40.623817,-0.10979052,1302.0,25.0
-10.635812,9.694755,2350.0,25.0
-3.8810747,-9.671696,579.0,1000.0
34.233604,-1.6368527,1625.0,25.0
39.93718,1.6045928,2035.0,25.0
-2.8656833,-8.6114025,796.0,800.0
-3.8304315,-9.697657,220.0,1000.0
38.13224,-0.19267492,1012.0,25.0
32.83235,-1.1894095,962.0,25.0
40.84306,-0.008296225,1415.0,25.0
34.70857,-1.6224818,1260.0,25.0
35.836308,-0.86186063,500.0,25.0
38.226223,1.0150722,1300.0,25.0
-4.3879695,-4.3372297,1005.0,600.0
-6.107923,-5.84719,640.0,800.0
-7.4030457,-7.103659,40.0,1000.0
-12.331387,12.848442,1700.0,25.0
0.6563619,-4.496362,1370.0,600.0
-1.021136,-4.4613767,970.0,800.0
-2.3961797,-4.6926694,75.0,1000.0
-11.953598,14.317815,1010.0,25.0
2.2986531,-4.170994,1080.0,400.0
1.9183296,-4.3582907,1060.0,600.0
-6.8014293,-5.0202756,875.0,800.0
-0.06644778,-4.3660583,594.0,1000.0
-8.670245,-7.198299,150.0,1200.0
-4.253759,-2.8708465,1070.0,400.0
-4.99449,-3.786209,1020.0,600.0
-6.5534883,-5.249216,875.0,800.0
-7.8624415,-6.4639792,375.0,1000.0
-8.3451605,-7.490154,100.0,1200.0
-12.436259,13.095565,1550.0,25.0
0.67463326,-4.5113597,1015.0,600.0
-0.9686321,-4.4657745,860.0,800.0
-2.3508527,-4.678306,65.0,1000.0
-16.440928,3.1441207,1489.0,25.0
-10.854618,9.728443,2197.0,25.0
-0.29029757,-7.3362956,1870.0,600.0
-2.6189945,-8.424659,1597.0,800.0
-3.623385,-9.716801,745.0,1000.0
-4.5241055,-10.178142,250.0,1200.0
-14.775762,3.96354,1320.0,25.0
-13.173616,-7.693073,935.0,1000.0
-5.078313,-3.6593308,520.0,600.0
-6.734778,-5.044011,500.0,800.0
-8.034332,-6.290637,540.0,1000.0
-8.648101,-7.1585693,200.0,1200.0
35.24149,-1.4249425,1375.0,25.0
33.407974,-0.7927562,735.0,25.0
40.417027,1.6393142,1280.0,25.0
-3.8370934,-9.044426,728.0,800.0
-4.8166323,-9.843451,403.0,1000.0
-14.649817,4.0151005,1352.0,25.0
-13.134694,-7.859306,535.0,1000.0
38.80117,0.2220237,991.0,25.0
41.108925,1.517574,1020.0,25.0
-4.229158,-4.4119287,810.0,600.0
-6.016404,-5.898043,685.0,800.0
-7.32254,-7.164789,158.0,1000.0
-10.894722,8.129511,1500.0,25.0
-5.4018044,-5.1177273,1155.0,600.0
-7.133265,-6.64393,550.0,800.0
-10.920035,7.4967117,1290.0,25.0
-7.018531,-5.7875643,975.0,600.0
-8.195256,-7.2652884,865.0,800.0
-10.923956,7.475481,1360.0,25.0
-7.1766148,-5.6874957,1065.0,600.0
-8.400663,-7.024197,855.0,800.0
-10.91002,8.149327,1485.0,25.0
-5.1293178,-5.1775694,1135.0,600.0
-6.9155602,-6.76514,675.0,800.0
-10.8925,8.105412,1535.0,25.0
-5.4807696,-5.145004,1195.0,600.0
-7.2254577,-6.66337,180.0,800.0
-11.177994,13.87887,1183.0,25.0
-11.40718,13.908032,1201.0,25.0
-10.448331,11.5343895,1419.6,25.0
-11.118906,11.814395,1096.8,25.0
-10.676012,11.571138,1905.6,25.0
31.422482,-2.2146692,1771.3,25.0
-10.91131,11.629651,1509.2,25.0
-10.782646,12.139283,1457.0,25.0
-15.450309,3.5284235,1595.0,25.0
-14.794423,-8.006135,983.0,800.0
-14.455992,-8.330442,546.0,1000.0
-14.282802,-8.613961,170.0,1200.0
-12.008403,11.908374,1298.0,25.0
0.9447715,-6.012553,1230.0,600.0
-0.4377287,-6.603608,615.0,800.0
-1.6487535,-6.9931536,259.0,1000.0
-11.945863,11.8386545,1260.0,25.0
0.91441,-6.0168185,1035.0,600.0
-0.5043604,-6.6122675,300.0,800.0
-1.7147951,-7.010547,115.0,1000.0
-9.037213,10.576468,2034.0,25.0
-4.107887,-8.450457,750.0,1200.0
-9.115508,10.555672,2050.0,25.0
-3.9836118,-8.540663,586.0,1200.0
-8.955885,10.58423,2327.0,25.0
-4.286763,-8.336675,979.0,1200.0
38.60782,-0.8771731,822.0,25.0
-11.080272,6.278832,795.0,60.0
-10.714511,4.041092,765.0,100.0
-10.474945,2.3455286,650.0,200.0
-10.670379,1.2520647,590.0,300.0
-11.433511,12.911442,1350.0,25.0
-11.594226,12.992491,1370.0,25.0
-11.72099,13.321947,1600.0,25.0
-11.896424,13.497677,1550.0,25.0
-12.075214,13.5834255,1650.0,25.0
38.445496,0.19626665,1176.0,25.0
40.574516,0.4594638,903.0,25.0
40.81273,0.66113174,1150.0,25.0
-11.027853,6.923025,1200.0,43.0
-10.746084,4.412496,1040.0,72.0
-10.647349,3.8282187,1380.0,103.0
-10.454787,2.5878525,1640.0,153.0
-10.450181,2.1924877,1920.0,196.0
-10.5931635,1.2946342,2390.0,268.8
39.015724,-0.57134384,1112.0,25.0
-10.730105,12.921376,1617.0,25.0
-1.3737702,-5.232627,398.0,1000.0
-2.5921378,-5.3087983,166.0,1200.0
-10.833549,13.041262,1787.0,25.0
-1.311806,-5.197726,614.0,1000.0
-2.474296,-5.3002677,188.0,1200.0
-11.009496,13.201877,2134.0,25.0
-1.24682,-5.16398,673.0,1000.0
-2.381418,-5.2830386,235.0,1200.0
37.900784,-0.90780336,1317.0,25.0
37.41721,-0.4697298,1260.0,25.0
-10.499639,-5.819857,368.0,1000.0
-10.139851,-6.790887,60.0,1200.0
36.87056,-1.0704105,1373.0,25.0
35.327892,0.015333934,1512.0,25.0
-12.095118,-3.4569092,1007.0,800.0
-11.406778,-5.100662,814.0,1000.0
-11.035102,-6.298392,556.0,1200.0
36.555244,-0.6592062,1719.0,25.0
-11.1411495,-4.3308687,825.0,800.0
-10.744602,-5.2119694,728.0,900.0
-10.460918,-5.900623,635.0,1000.0
-10.286037,-6.4328403,397.0,1100.0
-10.1002445,-6.837011,187.0,1200.0
34.070923,-0.062071893,1600.0,25.0
-12.290647,-3.2094464,1045.0,800.0
-11.7142105,-4.8185887,855.0,1000.0
-11.330516,-6.06603,404.0,1200.0
41.581856,0.6280833,540.0,25.0
-11.095941,13.481582,1399.0,25.0
0.20948376,-5.0045514,875.0,800.0
-1.1395456,-5.2046337,240.0,1000.0
-11.548744,12.523944,1540.0,25.0
2.0651815,-4.2857733,1273.0,400.0
1.0609336,-4.9718957,920.0,600.0
-0.41596898,-5.127151,371.0,800.0
40.002712,0.35345787,1900.0,25.0
-10.884658,0.43887103,790.0,400.0
-10.7721,-1.2294191,675.0,600.0
-10.154172,-2.834606,535.0,800.0
-10.099515,-4.300695,295.0,1000.0
-11.852923,-7.2468305,92.0,1200.0
-9.456588,10.837616,2310.0,25.0
41.373505,0.39711154,1253.0,25.0
41.871426,0.113810785,879.0,25.0
-10.356352,10.866719,400.0,25.0
-10.189772,10.85944,700.0,25.0
-10.057569,10.846596,800.0,25.0
40.14337,-0.63561016,1500.0,25.0
40.71454,1.1998472,932.0,25.0
38.921013,0.82475704,1312.0,25.0
38.70937,0.84615844,1289.0,25.0
37.52102,0.38566127,1301.0,25.0
37.52254,0.4543475,1473.0,25.0
36.14182,-0.39731067,1436.0,25.0
36.363266,-0.13797781,1706.0,25.0
33.621445,-1.0552338,1603.0,25.0
33.99708,-1.1121895,1496.0,25.0
33.197384,-1.602243,1576.0,25.0
-16.042366,2.970286,1603.0,25.0
-16.089504,3.0020616,1645.0,25.0
-16.14293,3.0338385,1765.0,25.0
30.548153,-1.9257928,1109.0,25.0
30.77917,-2.1171196,1211.0,25.0
30.928297,-2.064605,1304.0,25.0
32.740242,-0.88248223,1400.0,25.0
31.356546,-1.7034999,1515.0,25.0
-12.048438,-1.0347791,973.0,600.0
-12.363155,-2.8568316,791.3,800.0
-11.958143,-4.4003477,752.8,1000.0
-11.568792,-5.7512608,659.0,1200.0
30.901312,-1.4750566,1455.0,25.0
-11.992322,-0.8171375,689.0,600.0
-12.391529,-2.3408191,674.0,800.0
-12.336325,-3.87233,620.0,1000.0
-12.013239,-5.258813,586.0,1200.0
-16.549799,3.150322,1390.0,25.0
31.952856,-1.0984149,1525.0,25.0
30.627314,-1.2551222,2612.0,25.0
-11.281449,-0.46660185,862.0,600.0
-11.344346,-1.7472408,846.0,800.0
-11.355331,-3.007145,842.0,1000.0
-12.799012,-5.361573,735.0,1200.0
-12.552482,-6.498234,656.0,1400.0
-12.560813,-7.0928073,477.0,1600.0
30.368315,-1.660925,1058.0,25.0
-11.34934,-0.25265497,561.0,600.0
-11.550734,-1.3316501,552.0,800.0
-11.673805,-2.4315999,548.0,1000.0
-12.906607,-4.498792,506.0,1200.0
-12.885955,-5.7940054,421.0,1400.0
-12.812901,-6.5454774,405.0,1600.0
33.31005,-1.701157,1200.0,25.0
34.563488,-0.67754024,1750.0,25.0
34.729973,-1.3210717,1455.0,25.0
34.789665,-0.7179051,1640.0,25.0
35.019917,-0.8045207,1680.0,25.0
-15.878499,2.9189816,1720.0,25.0
-15.83138,2.9121678,1520.0,25.0
-15.77657,2.9063077,1415.0,25.0
35.194412,-1.0808457,1779.0,25.0
34.37801,-0.82754046,1560.0,25.0
32.05373,-1.6813804,1221.0,25.0
37.26531,-0.69612336,1092.0,25.0
31.836493,-1.0814428,1420.0,25.0
31.217793,-1.1490633,1530.0,25.0
41.32843,1.1987219,866.0,25.0
-14.415802,3.9825761,918.0,25.0
-13.808231,-7.4902678,571.0,600.0
-13.51769,-8.15174,240.0,800.0
-13.515202,-8.458141,72.0,1000.0
-15.252019,3.3350642,1105.0,25.0
-15.06625,-8.208649,834.0,600.0
-14.715524,-8.517459,187.0,800.0
-14.476291,-8.735075,58.0,1000.0
